uSim ySim yref uMin uMax yMin yMax uSimDig ySimDig vol
0.554335 5.239320 5.000000 0.000000 1.000000 0.000000 10.000000 2270 2145 3.836786e-05
0.543101 5.185361 5.000000 0.000000 1.000000 0.000000 10.000000 2224 2123 3.836786e-05
0.625641 5.105958 5.000000 0.000000 1.000000 0.000000 10.000000 2562 2090 3.836786e-05
0.653480 5.004805 5.000000 0.000000 1.000000 0.000000 10.000000 2676 2049 3.836786e-05
0.688645 4.941943 5.000000 0.000000 1.000000 0.000000 10.000000 2820 2023 3.836786e-05
0.318926 4.940676 5.000000 0.000000 1.000000 0.000000 10.000000 1306 2023 3.836786e-05
0.783639 5.054463 5.000000 0.000000 1.000000 0.000000 10.000000 3209 2069 3.836786e-05
0.982906 4.973336 7.000000 0.000000 1.000000 0.000000 10.000000 4025 2036 3.836786e-05
0.804640 5.038766 7.000000 0.000000 1.000000 0.000000 10.000000 3295 2063 2.292672e-05
0.786813 5.370751 7.000000 0.000000 1.000000 0.000000 10.000000 3222 2199 2.292672e-05
0.550183 5.835778 7.000000 0.000000 1.000000 0.000000 10.000000 2253 2389 2.292672e-05
0.441026 6.357006 7.000000 0.000000 1.000000 0.000000 10.000000 1806 2603 2.292672e-05
0.931136 6.747015 7.000000 0.000000 1.000000 0.000000 10.000000 3813 2762 2.292672e-05
0.439316 6.909362 7.000000 0.000000 1.000000 0.000000 10.000000 1799 2829 2.292672e-05
0.895482 7.166427 7.000000 0.000000 1.000000 0.000000 10.000000 3667 2934 2.292672e-05
0.690354 7.164796 7.000000 0.000000 1.000000 0.000000 10.000000 2827 2933 2.292672e-05
0.716239 7.212134 7.000000 0.000000 1.000000 0.000000 10.000000 2933 2953 2.292672e-05
0.858120 7.169164 7.000000 0.000000 1.000000 0.000000 10.000000 3514 2935 2.292672e-05
0.778755 7.087699 7.000000 0.000000 1.000000 0.000000 10.000000 3189 2902 2.292672e-05
0.745543 7.078886 7.000000 0.000000 1.000000 0.000000 10.000000 3053 2898 2.292672e-05
0.847375 7.045636 7.000000 0.000000 1.000000 0.000000 10.000000 3470 2885 1.370856e-05
0.819292 6.982512 7.000000 0.000000 1.000000 0.000000 10.000000 3355 2859 1.370856e-05
0.742125 6.972419 7.000000 0.000000 1.000000 0.000000 10.000000 3039 2855 1.370856e-05
0.786081 7.003224 7.000000 0.000000 1.000000 0.000000 10.000000 3219 2867 1.370856e-05
0.744811 7.014781 7.000000 0.000000 1.000000 0.000000 10.000000 3050 2872 1.370856e-05
0.763370 7.036418 7.000000 0.000000 1.000000 0.000000 10.000000 3126 2881 1.370856e-05
0.786813 7.040788 7.000000 0.000000 1.000000 0.000000 10.000000 3222 2883 1.370856e-05
0.759463 7.036018 7.000000 0.000000 1.000000 0.000000 10.000000 3110 2881 1.370856e-05
0.783639 7.035988 7.000000 0.000000 1.000000 0.000000 10.000000 3209 2881 1.370856e-05
0.778266 7.030242 7.000000 0.000000 1.000000 0.000000 10.000000 3187 2878 1.370856e-05
0.772650 7.029098 7.000000 0.000000 1.000000 0.000000 10.000000 3164 2878 1.370856e-05
0.800000 7.023641 7.000000 0.000000 1.000000 0.000000 10.000000 3276 2876 1.370856e-05
0.757998 7.011663 7.000000 0.000000 1.000000 0.000000 10.000000 3104 2871 1.370856e-05
