uSim ySim yref uMin uMax yMin yMax uSimDig ySimDig vol
0.487912 4.016901 4.000000 0.000000 1.000000 0.000000 10.000000 1998 1644 1.079942e-03
0.464469 3.987670 4.000000 0.000000 1.000000 0.000000 10.000000 1902 1632 1.079942e-03
0.443712 4.003642 4.000000 0.000000 1.000000 0.000000 10.000000 1817 1639 1.079942e-03
0.438339 4.017707 4.000000 0.000000 1.000000 0.000000 10.000000 1795 1645 1.079942e-03
0.481807 4.009829 4.000000 0.000000 1.000000 0.000000 10.000000 1973 1642 1.079942e-03
0.419292 4.002058 4.000000 0.000000 1.000000 0.000000 10.000000 1717 1638 1.079942e-03
0.384615 4.035740 4.000000 0.000000 1.000000 0.000000 10.000000 1575 1652 1.079942e-03
0.473748 4.052186 4.000000 0.000000 1.000000 0.000000 10.000000 1940 1659 1.079942e-03
0.481807 4.007689 4.000000 0.000000 1.000000 0.000000 10.000000 1973 1641 1.079942e-03
0.453724 3.987609 4.000000 0.000000 1.000000 0.000000 10.000000 1858 1632 1.079942e-03
0.410745 4.009571 4.000000 0.000000 1.000000 0.000000 10.000000 1682 1641 1.079942e-03
0.429548 4.032934 4.000000 0.000000 1.000000 0.000000 10.000000 1759 1651 1.079942e-03
0.437851 4.034883 4.000000 0.000000 1.000000 0.000000 10.000000 1793 1652 1.079942e-03
0.463248 4.024314 4.000000 0.000000 1.000000 0.000000 10.000000 1897 1647 1.079942e-03
0.443468 4.010249 4.000000 0.000000 1.000000 0.000000 10.000000 1816 1642 1.079942e-03
0.436386 4.011236 4.000000 0.000000 1.000000 0.000000 10.000000 1787 1642 1.079942e-03
0.479121 4.001385 4.000000 0.000000 1.000000 0.000000 10.000000 1962 1638 1.079942e-03
0.417338 4.004317 4.000000 0.000000 1.000000 0.000000 10.000000 1709 1639 1.079942e-03
0.440537 4.014363 4.000000 0.000000 1.000000 0.000000 10.000000 1804 1643 1.079942e-03
0.447619 4.011770 4.000000 0.000000 1.000000 0.000000 10.000000 1833 1642 1.079942e-03
0.505006 3.984964 4.000000 0.000000 1.000000 0.000000 10.000000 2068 1631 1.079942e-03
0.332601 3.979790 4.000000 0.000000 1.000000 0.000000 10.000000 1362 1629 1.079942e-03
0.488156 4.002036 4.000000 0.000000 1.000000 0.000000 10.000000 1999 1638 1.079942e-03
0.482051 3.947627 4.000000 0.000000 1.000000 0.000000 10.000000 1974 1616 1.079942e-03
0.484493 3.920488 4.000000 0.000000 1.000000 0.000000 10.000000 1984 1605 1.079942e-03
0.485470 3.907554 4.000000 0.000000 1.000000 0.000000 10.000000 1988 1600 1.079942e-03
0.462515 3.920067 4.000000 0.000000 1.000000 0.000000 10.000000 1894 1605 1.079942e-03
0.344567 3.981177 4.000000 0.000000 1.000000 0.000000 10.000000 1411 1630 1.079942e-03
0.408303 4.046928 4.000000 0.000000 1.000000 0.000000 10.000000 1672 1657 1.079942e-03
0.529182 4.032587 4.000000 0.000000 1.000000 0.000000 10.000000 2167 1651 1.079942e-03
